Q,Pgen,Ppost
2.2483273,1.3113523060469497e-07,2.948349130919016e-07
0.9958228,2.1992677507441085e-13,2.1900809415316833e-13
1.3564614,1.3444336419026414e-11,1.823672347838347e-11
0.37153834,3.1453166957887104e-21,1.1686057472156726e-21
1.5502568,5.039113360379766e-18,7.811919996466467e-18
0.6818495,2.3805703837127875e-15,1.6231906774649767e-15
1.0081677,3.466929193696906e-09,3.4952461827176513e-09
1.57162,2.607818698561552e-13,4.0984999904037387e-13
0.6269684,4.8715250551895296e-14,3.0542921904401026e-14
0.45451552,1.5157501918266515e-18,6.889319817140752e-19
2.613506,1.4380250221185504e-20,3.758287136658427e-20
1.7366099,5.615503612300734e-11,9.751939367420423e-11
1.8644707,1.202691885544709e-10,2.2423838061298502e-10
0.41633582,3.707635596830984e-12,1.543621510738025e-12
0.55652606,2.8505767556351284e-16,1.586420264431325e-16
0.88383,1.9958672385711404e-14,1.7640073632032426e-14
2.0621302,1.5187678779369476e-09,3.1318971272993386e-09
1.9844215,8.270214757936471e-13,1.6411591905986218e-12
0.49369836,3.6100827334086174e-11,1.782291919662148e-11
0.9042333,1.9356184784326727e-20,1.7502506394730208e-20
0.26285878,1.711474359755149e-13,4.4987605919140925e-14
3.0505183,2.3627983100515722e-14,7.207759423314611e-14
1.6847856,2.1401178185589605e-14,3.6056396925927045e-14
1.5242436,9.122059910861862e-12,1.3904241376063184e-11
1.5443684,1.0700544059204157e-07,1.6525581960909346e-07
2.065934,1.7406561639854058e-15,3.596080651912441e-15
1.3660362,2.3458353742816665e-12,3.2044959858079867e-12
7.4164405,3.461188141930077e-16,2.5669695868615954e-15
20.036554,1.1571454606790136e-13,2.318520789818475e-12
3.7449255,3.9497479724066414e-13,1.479151189634068e-12
18.314796,1.1209942738519964e-14,2.0530781944697013e-13
3.073328,2.8540760477723443e-15,8.771511883659378e-15
3.360144,9.809691488316258e-14,3.2961975014539504e-13
0.65474427,1.1291831303450365e-22,7.393261815101106e-23
2.566071,8.843459120130486e-10,2.269294428391176e-09
1.1094297,3.275190000028277e-12,3.6335931150618986e-12
1.2865664,2.13796115975168e-08,2.7506289427973228e-08
0.88442636,1.3762185593311463e-12,1.2171639646107035e-12
2.576402,1.3718584062338124e-15,3.5344586714751972e-15
1.3448219,5.825489424034721e-14,7.834245930026735e-14
2.222375,9.68640309583429e-17,2.1526819267189432e-16
1.0738976,1.3811690529737679e-14,1.4832341314230568e-14
