Q,Pgen,Ppost
2.4554274,2.8380409669284284e-10,6.968603575842666e-10
1.3783201,1.4830725008787999e-09,2.0441486346385895e-09
0.8714231,4.553468222978356e-13,3.9679975096719026e-13
0.3006684,2.7770043976761266e-11,8.349574373986067e-12
1.0711644,1.0036141460748115e-12,1.0750357140849366e-12
2.9694982,9.68852594766433e-12,2.8770059950491993e-11
0.3136233,4.062259945785585e-10,1.2740194067656162e-10
2.683607,3.168678514853416e-10,8.503488164642341e-10
1.432363,1.9347678635363776e-10,2.771289965736029e-10
1.8653024,2.100921623962009e-10,3.918854238787428e-10
2.431726,2.97154455727315e-12,7.2259820972353575e-12
3.1431444,4.038726858248223e-10,1.2694301582938284e-09
1.5716054,1.0660838701015193e-13,1.6754632139635954e-13
0.7618894,2.018234382947922e-14,1.5376713792448646e-14
2.0143626,3.393508413028405e-14,6.835756340481431e-14
1.9485067,4.0055710375136263e-16,7.804882055647246e-16
2.1750994,1.7827244814391205e-20,3.8776029015671196e-20
2.597371,5.768845594209418e-15,1.498383283471938e-14
1.7657499,8.866762795612057e-19,1.5656485797519705e-18
0.53305286,2.6284864068164856e-09,1.4011222010681632e-09
2.0483801,7.142418683743322e-08,1.463038855827393e-07
0.4685562,7.18134962320096e-15,3.364865857984539e-15
2.178859,7.346015376366067e-11,1.6005931683418294e-10
0.87092394,9.440898042286053e-12,8.222304085827603e-12
1.9932058,9.601589404849413e-11,1.9137943554154642e-10
0.46261898,1.6509791122878128e-12,7.637742676966607e-13
2.0325458,3.396212303915624e-12,6.90295707113639e-12
1.9714304,2.391991359928684e-12,4.715644533434883e-12
0.545988,3.7991799307283986e-10,2.074306740467615e-10
0.7559788,1.7804558092503398e-11,1.3459868865609226e-11
1.8837761,3.592572862127868e-11,6.767602782692415e-11
1.575837,6.458430606382775e-16,1.0177434015487647e-15
0.26437324,2.462235305106133e-13,6.509491322831562e-14
0.9203235,4.616009187931922e-10,4.2482216907710103e-10
0.49732074,3.357215319297155e-11,1.669612811682737e-11
1.5810448,2.259725569793082e-19,3.572727346021741e-19
1.8864226,2.7344136036554906e-14,5.1582597129943565e-14
0.8050205,6.9805037688487874e-12,5.619448712085666e-12
1.5482281,2.8492101234650528e-18,4.411227303158019e-18
0.34899825,4.805055123029607e-15,1.6769558222538408e-15
0.3773846,1.0904004987312179e-17,4.115003593503388e-18
1.4710683,2.498608500356227e-10,3.67562366667073e-10
0.19659466,2.07307692348685e-21,4.0755584362642976e-22
0.7270608,3.957031801710449e-12,2.877002686920461e-12
2.6836522,4.783412112313698e-12,1.2837014259587511e-11
3.5799541,2.517444132185796e-10,9.012334561712437e-10
0.9454342,1.830392332266352e-17,1.7305155335602246e-17
0.6545727,1.5467413599327854e-09,1.0124547072992762e-09
0.28772154,2.0563112324524887e-08,5.916450437824945e-09
0.52122843,2.7452128060528208e-12,1.4308829682042645e-12
0.41677582,2.3182485111472754e-10,9.661899303161215e-11
1.4024866,1.1004505695800842e-10,1.5433671367834124e-10
0.7239873,6.882900018311752e-10,4.983132071871968e-10
0.22869894,5.9467331249533e-11,1.3600115566984864e-11
0.49366307,3.136627730476731e-12,1.5484372829857818e-12
0.025814975,7.786003634950786e-19,2.0099548669886987e-20
0.54742956,7.500940583832215e-22,4.1062366155073586e-22
0.14587797,2.2116035504490812e-10,3.2262424134983304e-11
0.48508093,1.1323877003808704e-20,5.492996761153573e-21
5.001778,2.5307486506201537e-20,1.265824324247596e-19
2.831749,4.2825231501462766e-27,1.2127030486890735e-26
1.2691438,3.717968385618923e-25,4.7186365988533525e-25
0.94367415,3.838386772539921e-17,3.6221863639280707e-17
3.178453,4.538968405276863e-24,1.4426897602122107e-23
4.9033556,3.676325163829015e-21,1.8026329573782538e-20
3.4974089,2.4367889340442192e-23,8.52244722464698e-23
0.48601934,6.309811798970912e-10,3.066690585858611e-10
1.2492709,2.095619663909828e-11,2.617996697089034e-11
1.7702645,6.803670861196672e-16,1.2044297038396353e-15
1.508559,2.468217030785541e-17,3.723450987535965e-17
1.148745,6.670103348624974e-16,7.662247476064276e-16
0.51776576,1.6154360546525917e-16,8.364174772499156e-17
0.5819874,1.7729998752313753e-14,1.0318635538663375e-14
1.1021613,2.960117222424266e-15,3.262526611271926e-15
0.8946351,1.9446787130213786e-13,1.7397777985091448e-13
1.3514364,2.7103754749847066e-10,3.662900011062011e-10
1.0264413,7.502292037587189e-13,7.700662659708173e-13
0.95470595,1.0473304144277597e-16,9.998925820384664e-17
2.49729,1.3282400994203218e-13,3.317000579759484e-13
1.060064,1.2011592952919101e-20,1.2733056769574635e-20
0.9216395,2.1864833678488177e-11,2.015149442381495e-11
0.41269115,5.13280917552771e-09,2.1182649015424697e-09
0.68189734,1.1660426103643007e-11,7.951213569052525e-12
1.9121315,1.5362730299287706e-10,2.937556126757518e-10
1.9686778,1.1518936466085315e-10,2.2677074030080567e-10
1.841118,4.493231844333327e-11,8.272569928355574e-11
0.650422,1.066739333027084e-15,6.938307059771692e-16
2.3198779,1.3814198504059098e-18,3.2047253303691536e-18
2.80489,7.777393167905244e-22,2.1814731680108186e-21
0.94291043,4.518887594850329e-18,4.260906257905152e-18
2.715816,8.793305481779639e-17,2.3880999904661567e-16
2.9943411,1.6372783499430278e-10,4.902569912720305e-10
9.480083,1.0143336647553299e-11,9.615967803824286e-11
1.7246073,2.9072613942122787e-22,5.013884364300456e-22
3.6688318,1.111407750402977e-18,4.077568125515005e-18
0.31628454,4.810778743030089e-09,1.5215749288658824e-09
0.64089,5.227681883612307e-13,3.350369054154085e-13
1.7420347,4.550228716947195e-18,7.926656198145596e-18
0.84613466,1.7090101676688435e-12,1.4460527416485958e-12
0.47578067,4.194489961102381e-19,1.9956572266971176e-19
0.91421044,1.9555270088642465e-10,1.7877632047188865e-10
1.7840631,7.553178886847665e-10,1.3475347745878472e-09
0.85365516,1.589518796868368e-12,1.356900922026664e-12
1.3820392,7.902916837901755e-14,1.0922140780064778e-13
1.7420982,6.86322502489872e-11,1.1956412046091483e-10
1.2055072,5.580526996374002e-15,6.72736524642241e-15
0.8191961,7.357152040914582e-13,6.026950295834724e-13
0.4758705,1.3083631373032164e-10,6.226114073434441e-11
0.5015322,1.7981568346953653e-11,9.018335478528082e-12
0.29401207,4.340805005491091e-09,1.2762490638378814e-09
0.6592304,3.9712537690062926e-10,2.6179712545366176e-10
0.92506504,2.3747269259162866e-09,2.196776860109066e-09
1.2762034,4.11625919314193e-14,5.25318395260864e-14
2.0810223,3.786062419134969e-12,7.878880181711776e-12
0.6344171,5.697482408823834e-19,3.614580361924524e-19
0.4734783,1.0971349057722837e-09,5.194695562959157e-10
0.52785873,2.080619085019755e-11,1.0982729564270348e-11
0.410452,1.4360928219366928e-09,5.894471827935561e-10
0.267598,6.506673922377704e-15,1.741172948770157e-15
1.3998026,1.2776628218142033e-19,1.7884756959148637e-19
2.1949456,1.278514479661082e-24,2.8062696981799482e-24
0.22977422,1.0253621339019834e-22,2.356017863578715e-23
0.32089445,1.7310313001289853e-19,5.55478336899851e-20
0.51164246,9.292951459182138e-10,4.754668508572941e-10
0.39995885,8.67272827906902e-14,3.4687344197807207e-14
0.23887774,4.243480216483691e-16,1.0136729786266354e-16
1.8313779,1.4678479437995022e-17,2.688184231822013e-17
0.877446,1.036023858055385e-14,9.090549858118883e-15
0.9085846,2.0248483152358787e-10,1.8397459858813536e-10
0.86208534,2.2807241545822596e-13,1.9661788637394795e-13
0.38028923,5.245810738356729e-09,1.994925309473547e-09
0.6902562,5.379018794682715e-09,3.7129009566468224e-09
0.46105358,3.073200524885329e-11,1.4169101041967054e-11
0.22659053,2.4961400677285795e-12,5.656016986149037e-13
0.36234397,1.2908891909226033e-12,4.677459103458517e-13
0.3660211,1.1630821927749465e-12,4.257126197591593e-13
0.1557318,3.559164045051252e-18,5.542750133306669e-19
1.1775122,5.815359730583639e-12,6.847656849201828e-12
0.958901,1.2028983373310268e-10,1.1534604042529254e-10
0.6271544,2.6562468711664567e-14,1.6658769389963565e-14
2.1368937,5.12873476820551e-13,1.0959561267673139e-12
1.5755684,5.815266047028994e-11,9.162349639807943e-11
0.59866065,6.313672427756222e-16,3.779747226033877e-16
1.3111255,2.737595659050076e-09,3.5893315235119014e-09
1.841885,3.881137116040566e-14,7.148608123125135e-14
1.0577642,1.0780952713759939e-15,1.1403705526614255e-15
0.54542655,1.6244938843743237e-12,8.860420908335217e-13
0.74948984,2.8084606918237873e-12,2.104912765360863e-12
0.49155396,3.533196251203838e-17,1.7367566166178398e-17
0.5627642,1.162685840146826e-10,6.543179985278579e-11
0.5538937,4.875768616270124e-11,2.7006574477352686e-11
0.75198936,1.3484024762157568e-12,1.0139843213469468e-12
0.5074398,1.3542074993783724e-09,6.87178772020955e-10
1.0527627,2.2134699248479654e-11,2.3302586780662896e-11
0.5560185,1.1618391053199931e-18,6.460040037220387e-19
0.6935805,1.3555589551752035e-09,9.401892690690147e-10
0.25673684,3.210374898632141e-11,8.24221522029503e-12
0.13573244,3.3114775469638116e-18,4.494749345430928e-19
0.103538424,5.497093743369546e-19,5.691604215408387e-20
1.5325246,9.028636455886039e-14,1.3836607344208244e-13
0.74652064,4.046851527022522e-12,3.02105818572948e-12
0.8145915,2.3848199189053525e-16,1.9426540993257568e-16
0.20536992,2.0020227994844726e-17,4.111552612443645e-18
2.227345,1.3643841827614975e-15,3.0389542736042777e-15
0.6306988,1.6357266171943245e-09,1.0316508147347873e-09
0.7264391,1.1600814706052869e-07,8.427285607616443e-08
0.4579422,1.5813042837226824e-11,7.241459432435006e-12
1.3920492,1.615546041916486e-12,2.2489195645217524e-12
0.38273528,2.1936997469742596e-14,8.396062916822965e-15
0.7483019,5.0133777549513796e-11,3.751520216134188e-11
1.1259607,2.932096042311432e-10,3.3014249347412294e-10
0.40143478,6.781239087102344e-10,2.722225215410747e-10
0.4509788,6.701024129405732e-11,3.022019725182627e-11
0.41241476,6.789758743522804e-10,2.8001967185770746e-10
1.1301827,3.9647791048151996e-12,4.480924924356612e-12
0.6920471,4.1557186280409046e-12,2.8759531044947385e-12
0.5615077,3.555931090234192e-10,1.9966826944989236e-10
1.4669349,1.4309520658234886e-08,2.099113553282941e-08
0.20114794,7.527595143435187e-13,1.514160284372484e-13
1.9568226,2.2770548265706248e-12,4.455792422907791e-12
0.4769157,3.1566097963803037e-13,1.5054367306500173e-13
1.2115597,1.9495704536524286e-17,2.3620209028762907e-17
0.19343318,2.773509864096374e-10,5.364888340254727e-11
0.83084327,8.647873487717083e-11,7.18502748556763e-11
0.9331891,1.2168683499179608e-12,1.1355682730582844e-12
1.9450271,7.666293809776851e-10,1.4911149315939639e-09
0.7258854,7.006546626463372e-14,5.0859498391590976e-14
1.5039971,2.598945493939033e-09,3.908806453400035e-09
1.1449217,4.09824045061385e-17,4.6921642615306554e-17
2.0201294,1.8287283939179502e-11,3.694268070368139e-11
0.9900588,1.5430585405702816e-13,1.5277186557081236e-13
1.0841666,2.7593101339669332e-11,2.991552013227014e-11
1.2629935,5.769738130355868e-13,7.287141495317786e-13
1.1129563,1.032377424603234e-12,1.1489909436964014e-12
0.543306,8.429051732391134e-13,4.579554322190632e-13
0.31670475,1.1768839856208131e-17,3.727247485168745e-18
4.038732,1.0051678747294236e-15,4.059603713159031e-15
1.0093726,4.573607514204688e-14,4.616474071277007e-14
0.18533394,2.0584280984870293e-14,3.814965843608581e-15
1.1726729,5.628682244370248e-16,6.600602949299677e-16
0.25204003,3.3559736880411777e-12,8.458397042210556e-13
1.3905413,5.501192231324927e-11,7.649635079847487e-11
